category,sales_24,sales_25,sales_growth,qty_24,qty_25,qty_change,in_tag_24,in_tag_25,in_tag_growth,sell_rate_24,sell_rate_25,sell_rate_change
TOTAL,4041173420,8634655340,113.7,6639,11734,5095,22008597000,33770625000,53.4,21.5,28.3,6.8
WOMEN,3307690760,7450098040,125.2,4561,9030,4469,14138867000,24441000000,72.9,27.4,33.7,6.3
WOMEN_DOWN,2596211340,6351763930,144.7,2484,5585,3101,10114420000,18010700000,78.1,30.2,39.0,8.8
WOMEN_OUTER,332806670,326181650,-2.0,516,566,50,1647910000,2045150000,24.1,23.2,18.1,-5.1
WOMEN_TOP,146588950,194313080,32.6,655,631,-24,922320000,1442270000,56.4,18.6,15.1,-3.5
WOMEN_BOTTOM,101906130,300962750,195.3,344,1017,673,738670000,1313340000,77.8,16.0,25.6,9.6
MEN,733482660,1184557300,61.5,2078,2704,626,7869730000,9329625000,18.6,11.1,14.0,2.9
MEN_DOWN,422862030,728171270,72.2,487,736,249,5037630000,4724090000,-6.2,10.2,17.0,6.8
MEN_OUTER,34820500,68097640,95.6,73,154,81,738000000,1349980000,82.9,5.5,5.8,0.3
MEN_TOP,52873120,64652640,22.3,297,249,-48,804210000,831880000,3.4,8.1,8.7,0.6
MEN_BOTTOM,17644500,42376380,140.2,75,160,85,337670000,624560000,85.0,6.2,7.6,1.4
ACC,154940520,345944790,123.3,823,1617,794,932925000,2193740000,135.1,19.1,17.3,-1.8
SHOES,180519660,212191210,17.5,885,1019,134,734842000,1234915000,68.1,27.4,18.3,-9.1
