rank,combination,fabric,length,downweight,product_count_24,product_count_25,product_count_change,sell_amount_24,sell_amount_25,growth_rate,sell_rate_24,sell_rate_25,sell_rate_change,efficiency_score
1,TEXTURED × MIDDLE × HEAVY,TEXTURED,MIDDLE,HEAVY,0,1,1,0.0,722.3,100.0,0.0,113.5,113.5,456.52
2,TEXTURED × SHORT × HEAVY,TEXTURED,SHORT,HEAVY,2,4,2,105.5,540.9,412.6,36.7,26.3,-10.4,296.36
3,TEXTURED × MIDDLE × LIGHT,TEXTURED,MIDDLE,LIGHT,1,1,0,89.8,351.4,291.2,92.5,85.3,-7.2,217.21
4,SOFT-MATTE × MIDDLE × LIGHT,SOFT-MATTE,MIDDLE,LIGHT,0,3,3,0.0,348.5,100.0,0.0,42.6,42.6,214.72
5,SOFT-MATTE × SHORT × HEAVY,SOFT-MATTE,SHORT,HEAVY,2,2,0,12.8,104.8,719.6,5.4,12.6,7.3,196.91
6,SHINY × LONG × MEDIUM,SHINY,LONG,MEDIUM,3,2,-1,202.6,375.7,85.4,17.9,25.5,7.6,182.61
7,SOFT-MATTE × LONG × HEAVY,SOFT-MATTE,LONG,HEAVY,0,4,4,0.0,331.2,100.0,0.0,16.3,16.3,173.61
8,SOFT-MATTE × SHORT × LIGHT,SOFT-MATTE,SHORT,LIGHT,0,3,3,0.0,192.7,100.0,0.0,39.9,39.9,148.99
9,SHINY × MIDDLE × HEAVY,SHINY,MIDDLE,HEAVY,1,2,1,61.7,202.0,227.5,15.2,23.6,8.4,141.81
10,SEMI-SHINY × MIDDLE × LIGHT,SEMI-SHINY,MIDDLE,LIGHT,1,1,0,41.2,116.6,183.1,32.0,41.8,9.8,105.53
