product_name,gender,category,prev_week_qty,latest_week_qty,growth_rate,cumulative_sell_rate,prev_week_range,latest_week_range
알로로 벨벳,WOMEN,DOWN,89,163,83.14606741573034,100.95351609058403,48w,49w
피오카 패디드 뮬 2.0,MEN,SHOES,85,154,81.17647058823529,32.85827395091053,48w,49w
피오카 3.0,MEN,SHOES,67,98,46.26865671641791,28.893058161350844,48w,49w
알로로,WOMEN,DOWN,91,97,6.593406593406594,54.92730210016155,48w,49w
라바로네,WOMEN,DOWN,44,95,115.90909090909092,56.41025641025641,48w,49w
소바라,WOMEN,DOWN,68,76,11.76470588235294,45.588235294117645,48w,49w
토리사 벨벳,WOMEN,DOWN,67,66,-1.4925373134328357,67.80000000000001,48w,49w
피오카 럭스 2.0,MEN,SHOES,25,47,88.0,13.709677419354838,48w,49w
마라테아 미드,WOMEN,DOWN,31,47,51.61290322580645,42.58373205741627,48w,49w
레미에,WOMEN,DOWN,24,45,87.5,30.582524271844658,48w,49w
