attribute_type,attribute_value,sales_24,sales_25,growth_rate,sell_rate_24,sell_rate_25
fabric,TEXTURED,607706080,2284407010,275.90655831516443,59.30470347648262,59.50136819702037
fabric,SHINY,1223858080,1658134230,35.48419192525983,30.574278781342677,31.470523778216087
fabric,SOFT-MATTE,270368500,2030846690,651.1402733676446,19.805194805194805,34.4885100074129
fabric,MATTE,285808780,90474000,-68.34456940056215,14.398644833427444,15.458937198067632
fabric,SEMI-SHINY,208469900,287902000,38.102431094369024,32.8125,49.628252788104085
length,SHORT,320049080,1486706330,364.52448168262197,17.86480686695279,29.427792915531338
length,MIDDLE,808601630,3079069330,280.7894042954131,33.37542087542087,53.31296543822799
length,LONG,992247370,1785988270,79.99425586786892,31.6740412979351,33.13454198473282
downweight,LIGHT,654733650,1569809750,139.7631082502022,31.560439560439562,46.19400934322616
downweight,HEAVY,1232822320,3708349060,200.801583475549,29.863160719077005,43.649977976802234
downweight,MEDIUM,708655370,1073605120,51.498904185260045,24.77238239757208,24.826666666666668
